[0515/061343.592:ERROR:bad_message.cc(26)] Terminating renderer for bad IPC message, reason 213
[0515/061548.884:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1007x755) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061552.368:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (425x283) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061555.050:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (850x850) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061556.120:WARNING:sync_reader.cc(172)] ASR: No room in socket buffer.: Le canal de communication est sur le point d’être fermé. (0xE8)
[0515/061558.613:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (530x796) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061600.973:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (369x510) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061612.337:WARNING:sync_reader.cc(190)] SyncReader::Read timed out, audio glitch count=10
[0515/061612.592:WARNING:sync_reader.cc(190)] SyncReader::Read timed out, audio glitch count=20
[0515/061612.769:WARNING:sync_reader.cc(172)] ASR: No room in socket buffer.: Le canal de communication est sur le point d’être fermé. (0xE8)
[0515/061617.650:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (425x425) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061617.763:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (425x283) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061617.851:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (791x700) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061624.636:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (369x510) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061624.729:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1007x755) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061624.815:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (369x510) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061624.860:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (567x567) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061625.054:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (368x510) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061629.060:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (544x750) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061631.233:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (518x712) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061634.554:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (755x1007) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061637.221:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (755x1007) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061641.321:WARNING:sync_reader.cc(172)] ASR: No room in socket buffer.: Le canal de communication est sur le point d’être fermé. (0xE8)
[0515/061649.808:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (755x1007) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061649.828:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1007x755) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061649.891:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (283x425) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061649.912:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1007x755) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061652.023:WARNING:sync_reader.cc(172)] ASR: No room in socket buffer.: Le canal de communication est sur le point d’être fermé. (0xE8)
[0515/061653.581:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (755x1007) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061655.922:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (755x1007) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061700.084:WARNING:sync_reader.cc(172)] ASR: No room in socket buffer.: Le canal de communication est sur le point d’être fermé. (0xE8)
[0515/061700.115:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (755x1007) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061701.435:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (755x1007) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061704.965:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1007x755) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061711.884:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (755x1007) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061715.946:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1232x2189) to (1024x2048).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061716.211:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (567x567) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061718.400:WARNING:sync_reader.cc(172)] ASR: No room in socket buffer.: Le canal de communication est sur le point d’être fermé. (0xE8)
[0515/061718.681:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (425x284) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061726.124:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (369x510) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061729.350:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (2189x1459) to (2048x1024).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061733.148:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1232x2189) to (1024x2048).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061733.906:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1232x2189) to (1024x2048).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061738.978:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (2189x1232) to (2048x1024).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061747.415:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (426x284) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/063122.650:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (2592x1944) to (2048x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063123.034:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (640x424) to (512x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063123.547:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (682x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063123.598:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x354) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063123.599:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x768) to (1024x512).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063126.982:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x354) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063127.061:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x355) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063127.148:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x353) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063127.215:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x352) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063129.206:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063129.270:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063129.306:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063129.379:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x384) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063129.499:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x768) to (1024x512).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063129.539:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063129.539:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063129.540:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063134.834:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x768) to (1024x512).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063134.924:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063135.057:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (576x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063135.464:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (383x256) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063135.480:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063135.924:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1536x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063136.148:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x354) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063136.889:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063142.348:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063142.553:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1819x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063143.266:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063143.400:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (384x256) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063143.401:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x185) to (256x128).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063143.402:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1536) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063143.539:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1348) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063144.386:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x579) to (1024x512).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063149.515:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1365) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063150.197:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1365x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063150.743:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1212x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063153.559:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x171) to (256x128).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063153.637:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1536x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063153.727:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1536x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063205.339:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1536) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063205.987:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1536x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063206.282:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063206.315:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1819x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063207.192:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063207.556:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063212.351:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063212.726:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063212.881:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1819x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063218.239:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1819x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063218.472:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x384) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063218.581:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063218.672:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063218.754:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1602x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063220.469:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x355) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063220.507:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1819x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063221.082:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063222.526:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063222.896:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063227.476:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063228.330:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1819x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063229.203:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063229.664:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1819x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063229.854:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063230.328:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063230.958:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1819x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063241.792:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1819x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063242.010:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (100x118) to (64x64).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063243.873:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (26x33) to (16x32).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063243.979:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (18x33) to (16x32).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063243.979:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (24x33) to (16x32).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063244.161:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (23x33) to (16x32).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063244.211:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (29x33) to (16x32).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063244.385:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x864) to (1024x512).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063244.492:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (384x256) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063244.546:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (682x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063250.206:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x354) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063250.261:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x354) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063250.341:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x768) to (1024x512).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063250.433:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x906) to (1024x512).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063250.433:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x354) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063250.434:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x353) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063251.438:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x352) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063251.524:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063251.630:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063252.047:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063256.686:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x768) to (1024x512).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063256.868:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x384) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063256.986:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063257.955:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063258.213:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063258.593:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x768) to (1024x512).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063300.182:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063300.373:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (576x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063301.734:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1536x1024) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063301.978:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (383x256) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063302.081:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (768x1024) to (512x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063304.154:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (256x354) to (256x256).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
[0515/063304.228:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1024x1819) to (1024x1024).", source: http://localhost/PacMan-master/3D/build/three.module.js (21463)
